Designator,Mid X,Mid Y,Rotation,Layer
C102,182.435,-71.755,0.0,top
C104,135.94,-76.5545,270.0,top
C105,182.155,-104.775,0.0,top
C107,135.94,-109.5745,270.0,top
D102,135.94,-71.755,270.0,top
D103,135.94,-104.775,270.0,top
H102,132.13,-82.55,90.0,top
H103,192.963,-66.1415,90.0,top
H104,132.13,-115.57,90.0,top
H105,192.963,-99.1615,90.0,top
H106,161.975,-95.015,0.0,top
H107,161.975,-120.015,0.0,top
H108,161.975,-61.995,0.0,top
H109,161.975,-86.995,0.0,top
J102,172.135,-66.04,90.0,top
J105,151.825,-66.02,90.0,top
J107,129.59,-72.1975,180.0,bottom
J108,172.135,-82.55,90.0,top
J110,137.459,-65.024,180.0,bottom
J112,172.135,-99.06,90.0,top
J113,182.4875,-81.915,270.0,bottom
J114,182.4875,-90.805,270.0,bottom
J115,151.825,-99.04,90.0,top
J117,129.59,-95.4425,0.0,bottom
J118,172.135,-115.57,90.0,top
J120,137.459,-98.044,180.0,bottom
R102,142.544,-63.754,180.0,top
R103,142.544,-66.294,180.0,top
R104,142.544,-68.834,180.0,top
R105,142.544,-96.774,180.0,top
R106,142.544,-99.314,180.0,top
R107,142.544,-101.854,180.0,top
U102,147.37,-80.4925,0.0,top
U103,147.37,-113.5125,0.0,top
