Designator,Mid X,Mid Y,Rotation,Layer
J100_12,131.445,-8.255,270.0,bottom
J100_11,131.445,-74.295,270.0,bottom
J100_10,131.445,-206.375,270.0,bottom
J100_9,50.165,-8.255,270.0,bottom
J100_8,212.725,-206.375,270.0,bottom
J100_7,131.445,-140.335,270.0,bottom
J100_6,212.725,-74.295,270.0,bottom
J100_5,212.725,-140.335,270.0,bottom
J100_4,50.165,-140.335,270.0,bottom
J100_3,50.165,-74.295,270.0,bottom
J100_2,212.725,-8.255,270.0,bottom
J100,50.165,-206.375,270.0,bottom
J101_12,111.125,-206.37,270.0,bottom
J101_11,192.405,-206.37,270.0,bottom
J101_10,111.125,-140.33,270.0,bottom
J101_9,111.125,-8.25,270.0,bottom
J101_8,192.405,-74.29,270.0,bottom
J101_7,29.845,-8.25,270.0,bottom
J101_6,192.405,-140.33,270.0,bottom
J101_5,29.845,-206.37,270.0,bottom
J101_4,111.125,-74.29,270.0,bottom
J101_3,29.845,-74.29,270.0,bottom
J101_2,192.405,-8.25,270.0,bottom
J101,29.845,-140.33,270.0,bottom
J102_12,50.165,-24.765,270.0,bottom
J102_11,131.445,-24.765,270.0,bottom
J102_10,212.725,-90.805,270.0,bottom
J102_9,131.445,-90.805,270.0,bottom
J102_8,50.165,-156.845,270.0,bottom
J102_7,131.445,-222.885,270.0,bottom
J102_6,212.725,-156.845,270.0,bottom
J102_5,212.725,-222.885,270.0,bottom
J102_4,131.445,-156.845,270.0,bottom
J102_3,50.165,-90.805,270.0,bottom
J102_2,50.165,-222.885,270.0,bottom
J102,212.725,-24.765,270.0,bottom
J103_12,131.445,-239.395,270.0,bottom
J103_11,131.445,-173.355,270.0,bottom
J103_10,131.445,-41.275,270.0,bottom
J103_9,212.725,-107.315,270.0,bottom
J103_8,50.165,-239.395,270.0,bottom
J103_7,212.725,-239.395,270.0,bottom
J103_6,50.165,-41.275,270.0,bottom
J103_5,50.165,-173.355,270.0,bottom
J103_4,212.725,-41.275,270.0,bottom
J103_3,131.445,-107.315,270.0,bottom
J103_2,212.725,-173.355,270.0,bottom
J103,50.165,-107.315,270.0,bottom
