Designator,Footprint,Quantity,Value,LCSC Part #
C102,0603,1,22uF,
C105,0603,1,0.1uF,
J101,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,CH1,
"J102, J104",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,I2C,
J103,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,CH2,
J105,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,CH3,
J106,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,CH4,
J107,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,CH6,
J109,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,CH7,
J111,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,CH8,
J113,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,CH5,
J117,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"J119, J120",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,+5V,
JP101,PinHeader_1x03_P2.54mm_Vertical,1,A2,
"R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123",0603,17,4.7kR,
U102,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
