Designator,Mid X,Mid Y,Rotation,Layer
C102,182.295,-105.41,180.0,top
C105,182.3955,-110.871,180.0,top
J101,127.05,-107.1225,180.0,bottom
J102,142.076,-113.94,0.0,bottom
J103,135.559,-107.1225,180.0,bottom
J104,140.746,-120.248,180.0,bottom
J105,144.068,-107.1225,180.0,bottom
J106,152.577,-107.1225,180.0,bottom
J107,169.595,-107.1225,180.0,bottom
J109,178.104,-107.1225,180.0,bottom
J111,186.613,-107.1225,180.0,bottom
J113,161.086,-107.1225,180.0,bottom
J117,150.804,-116.713,0.0,bottom
J119,198.337,-107.717,0.0,bottom
J120,198.337,-119.782,0.0,bottom
JP101,154.863,-116.713,0.0,bottom
R107,173.2545,-114.173,0.0,top
R108,169.4445,-112.268,0.0,top
R109,173.2545,-116.713,0.0,top
R110,169.4445,-114.808,0.0,top
R111,173.2545,-119.253,0.0,top
R112,169.4445,-117.348,0.0,top
R113,173.2545,-121.793,0.0,top
R114,169.4445,-119.888,0.0,top
R115,191.5425,-120.523,180.0,top
R116,187.7325,-121.793,180.0,top
R117,191.5425,-117.983,180.0,top
R118,187.7325,-119.253,180.0,top
R119,191.5425,-115.443,180.0,top
R120,187.7325,-116.713,180.0,top
R121,191.5425,-112.903,180.0,top
R122,187.7325,-114.173,180.0,top
R123,173.2545,-111.633,0.0,top
U102,180.644,-116.44,270.0,top
