Designator,Mid X,Mid Y,Rotation,Layer
C101,152.04,-123.825,0.0,top
C102,177.9425,-121.92,180.0,top
C104,157.44,-119.945,270.0,top
C106,148.507621,-117.945,0.0,top
C108,156.12,-133.985,90.0,top
F102,164.375,-125.095,180.0,top
H102,142.94,-123.19,0.0,top
H103,142.785,-135.89,0.0,top
H104,142.785,-110.89,0.0,top
H106,112.94,-131.445,90.0,top
H107,173.773,-115.0365,90.0,top
J101,134.44,-114.9275,180.0,bottom
J102,174.025,-135.725,0.0,top
J103,155.94,-114.9275,180.0,bottom
J104,125.94,-114.9275,180.0,bottom
J201,112.44,-117.445,180.0,bottom
J202,129.94,-129.095,0.0,bottom
R104,177.98,-125.73,180.0,top
R105,165.44,-130.945,90.0,top
R106,165.44,-135.445,90.0,top
R107,152.31,-133.985,90.0,top
R108,156.755,-128.27,90.0,top
U101,164.48,-119.945,0.0,top
U103,161.515,-134.425,270.0,top
