Designator,Mid X,Mid Y,Rotation,Layer
J100,148.239,-79.34,270.0,bottom
J101,127.919,-79.335,270.0,bottom
J102,148.239,-95.85,270.0,bottom
J103,148.239,-112.36,270.0,bottom
J104,127.919,-112.36,270.0,bottom
J105,148.239,-128.87,270.0,bottom
U100,169.321,-79.2385,90.0,top
U101,149.001,-79.2385,90.0,top
U102,128.681,-79.2385,90.0,top
U103,108.234,-79.2385,90.0,top
U104,169.194,-95.85,90.0,top
U105,148.874,-95.85,90.0,top
U106,128.554,-95.85,90.0,top
U107,108.232,-95.85,90.0,top
U108,169.194,-112.36,90.0,top
U109,148.874,-112.36,90.0,top
U110,128.554,-112.36,90.0,top
U111,108.232,-112.36,90.0,top
U112,169.194,-128.87,90.0,top
U113,148.874,-128.87,90.0,top
U114,128.554,-128.87,90.0,top
U115,108.234,-128.87,90.0,top
