Designator,Mid X,Mid Y,Rotation,Layer
C103,147.324,-118.07,270.0,top
C106,156.0815,-117.17,270.0,top
C107,126.274,-117.27,270.0,top
D102,176.774,-119.17,180.0,top
D103,117.874,-119.87,270.0,top
H100,110.574,-95.22,0.0,top
H101,160.574,-95.22,0.0,top
H102,135.574,-145.22,0.0,top
H103,185.574,-145.22,0.0,top
J114,183.874,-94.645,90.0,top
J115,112.274,-143.295,270.0,top
J116,191.134,-118.95,90.0,top
J117,104.814,-119.09,90.0,top
J118,126.774,-93.295,270.0,top
J121,168.874,-144.645,90.0,top
R124,182.3115,-116.62,0.0,top
R125,182.424,-119.12,0.0,top
R126,182.3865,-121.92,0.0,top
R127,113.3615,-121.78,180.0,top
R128,113.3615,-119.27,180.0,top
R129,113.3615,-116.76,180.0,top
U100,110.452244,-81.37,90.0,top
U101,135.452244,-81.57,90.0,top
U102,160.452244,-81.57,90.0,top
U103,185.452244,-81.57,90.0,top
U104,110.452244,-106.37,90.0,top
U105,135.452244,-106.57,90.0,top
U106,160.452244,-106.57,90.0,top
U107,185.452244,-106.57,90.0,top
U108,110.452244,-131.37,90.0,top
U109,135.452244,-131.57,90.0,top
U110,160.452244,-131.57,90.0,top
U111,185.452244,-131.57,90.0,top
U112,110.452244,-156.37,90.0,top
U113,135.452244,-156.57,90.0,top
U114,160.452244,-156.57,90.0,top
U115,185.452244,-156.57,90.0,top
U116,163.524,-118.97,0.0,top
U117,133.624,-118.92,0.0,top
