Designator,Mid X,Mid Y,Rotation,Layer
C103,136.0,-108.5,0.0,bottom
C105,119.05,-91.15,90.0,bottom
C106,135.1625,-86.65,180.0,bottom
D102,136.75,-64.5,180.0,bottom
J101,111.7325,-68.15,270.0,top
J102,114.825,-120.3,0.0,top
J103,111.7325,-76.65,270.0,top
J104,135.325,-120.3,0.0,top
J105,111.7325,-85.15,270.0,top
J106,111.7325,-93.65,270.0,top
J107,111.7325,-102.15,270.0,top
J108,140.29,-60.13,90.0,bottom
J109,111.7325,-110.65,270.0,top
J110,140.07,-77.63,90.0,bottom
J111,118.0,-103.5,0.0,top
J112,125.78,-117.63,90.0,bottom
J113,137.5675,-68.4,90.0,top
J114,146.125,-111.925,0.0,top
J115,137.125,-111.95,0.0,top
JP102,119.58,-64.0,270.0,top
JP103,119.54,-60.25,270.0,top
JP104,119.58,-56.5,270.0,top
JP105,128.77,-64.0,90.0,top
JP106,128.745,-60.25,90.0,top
JP107,128.745,-56.5,90.0,top
R107,120.8,-82.4,270.0,bottom
R108,119.3,-82.4,270.0,bottom
R109,123.8,-82.4,270.0,bottom
R110,122.3,-82.4,270.0,bottom
R111,126.8,-82.4,270.0,bottom
R112,125.3,-82.4,270.0,bottom
R113,129.8,-82.4,270.0,bottom
R114,128.3,-82.4,270.0,bottom
R115,128.8,-95.65,90.0,bottom
R116,130.3,-95.65,90.0,bottom
R117,125.8,-95.65,90.0,bottom
R118,127.3,-95.65,90.0,bottom
R119,122.8,-95.65,90.0,bottom
R120,124.3,-95.65,90.0,bottom
R121,119.8,-95.65,90.0,bottom
R122,121.3,-95.65,90.0,bottom
R123,117.8,-82.4,270.0,bottom
R124,133.0,-65.0,90.0,bottom
R125,133.0,-61.0,90.0,bottom
R126,133.0,-56.5,90.0,bottom
U102,124.525,-89.15,180.0,bottom
U103,140.55,-96.9,270.0,bottom
