Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J201,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,62.86,-60.17,270.0,bottom
J202,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,62.78,-77.67,270.0,bottom
J203,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,77.47,-117.67,270.0,bottom
U201,DA56-11EWA,SL-9263,63.5,-60.325,0.0,top
U202,DA56-11EWA,SL-9263,88.9,-60.325,0.0,top
U203,DA56-11EWA,SL-9263,63.5,-79.375,0.0,top
U204,DA56-11EWA,SL-9263,88.9,-79.375,0.0,top
U205,DA56-11EWA,SL-9263,63.5,-98.425,0.0,top
U206,DA56-11EWA,SL-9263,88.9,-98.425,0.0,top
U207,DA56-11EWA,SL-9263,63.5,-117.475,0.0,top
U208,DA56-11EWA,SL-9263,88.9,-117.475,0.0,top
