Designator,Mid X,Mid Y,Rotation,Layer
J100,174.264,-106.49,270.0,bottom
J101,146.804,-81.49,270.0,bottom
J102,146.804,-106.49,270.0,bottom
J103,174.264,-156.49,270.0,bottom
J104,146.804,-131.49,270.0,bottom
J105,146.804,-156.49,270.0,bottom
U100,110.452244,-81.37,90.0,top
U101,135.452244,-81.57,90.0,top
U102,160.452244,-81.57,90.0,top
U103,185.452244,-81.57,90.0,top
U104,110.452244,-106.37,90.0,top
U105,135.452244,-106.57,90.0,top
U106,160.452244,-106.57,90.0,top
U107,185.452244,-106.57,90.0,top
U108,110.452244,-131.37,90.0,top
U109,135.452244,-131.57,90.0,top
U110,160.452244,-131.57,90.0,top
U111,185.452244,-131.57,90.0,top
U112,110.452244,-156.37,90.0,top
U113,135.452244,-156.57,90.0,top
U114,160.452244,-156.57,90.0,top
U115,185.452244,-156.57,90.0,top
