Designator,Mid X,Mid Y,Rotation,Layer
C103,191.045,-71.755,0.0,top
C106,135.94,-76.5545,270.0,top
D102,135.94,-71.755,270.0,top
J108,172.135,-66.04,90.0,top
J110,151.825,-66.02,90.0,top
J112,172.135,-82.55,90.0,top
J114,187.2275,-78.55,0.0,bottom
J115,196.2275,-78.525,0.0,bottom
J116,137.459,-65.024,180.0,bottom
J118,170.865,-74.295,270.0,bottom
J121,129.61,-73.025,180.0,bottom
R124,142.544,-63.754,180.0,top
R125,142.544,-66.294,180.0,top
R126,142.544,-68.834,180.0,top
U103,147.37,-80.4925,0.0,top
