Designator,Mid X,Mid Y,Rotation,Layer
C102,182.295,-105.41,180.0,top
C103,191.045,-72.898,0.0,top
C105,182.3955,-110.871,180.0,top
C106,135.94,-76.5545,270.0,top
D102,135.94,-71.755,270.0,top
J101,127.05,-107.1225,180.0,bottom
J102,140.706,-113.5,180.0,bottom
J103,135.559,-107.1225,180.0,bottom
J104,140.746,-120.248,180.0,bottom
J105,144.068,-107.1225,180.0,bottom
J106,152.577,-107.1225,180.0,bottom
J107,169.595,-107.1225,180.0,bottom
J108,172.135,-66.04,90.0,top
J109,178.104,-107.1225,180.0,bottom
J110,151.825,-66.02,90.0,top
J111,186.613,-107.1225,180.0,bottom
J112,172.135,-82.55,90.0,top
J113,161.086,-107.1225,180.0,bottom
J114,194.9525,-81.45,180.0,bottom
J115,185.9525,-81.475,180.0,bottom
J116,137.459,-65.024,180.0,bottom
J117,150.804,-116.713,0.0,bottom
J118,129.315,-75.605,90.0,bottom
J119,198.337,-107.717,0.0,bottom
J120,198.337,-119.782,0.0,bottom
J121,129.315,-66.969,90.0,bottom
JP101,154.863,-116.713,0.0,bottom
R107,173.2545,-114.173,0.0,top
R108,169.4445,-112.268,0.0,top
R109,173.2545,-116.713,0.0,top
R110,169.4445,-114.808,0.0,top
R111,173.2545,-119.253,0.0,top
R112,169.4445,-117.348,0.0,top
R113,173.2545,-121.793,0.0,top
R114,169.4445,-119.888,0.0,top
R115,191.5425,-120.523,180.0,top
R116,187.7325,-121.793,180.0,top
R117,191.5425,-117.983,180.0,top
R118,187.7325,-119.253,180.0,top
R119,191.5425,-115.443,180.0,top
R120,187.7325,-116.713,180.0,top
R121,191.5425,-112.903,180.0,top
R122,187.7325,-114.173,180.0,top
R123,173.2545,-111.633,0.0,top
R124,142.544,-63.754,180.0,top
R125,142.544,-66.294,180.0,top
R126,142.544,-68.834,180.0,top
U102,180.644,-116.44,270.0,top
U103,147.37,-80.4925,0.0,top
