Designator,Mid X,Mid Y,Rotation,Layer
C101,152.04,-123.825,180.0,bottom
C102,177.9425,-121.92,0.0,bottom
C104,119.29,-123.19,270.0,bottom
C106,111.017677,-119.38,0.0,bottom
C108,156.12,-133.985,270.0,bottom
F102,164.375,-125.095,0.0,bottom
J101,164.355,-116.84,180.0,bottom
J102,174.025,-135.725,0.0,bottom
J103,121.195,-116.6475,180.0,bottom
J104,155.465,-116.84,180.0,bottom
R104,177.98,-125.73,0.0,bottom
R105,173.265,-126.365,90.0,bottom
R106,165.645,-130.81,90.0,bottom
R107,152.31,-133.985,270.0,bottom
R108,156.755,-128.27,90.0,bottom
U101,131.99,-122.87,0.0,bottom
U103,161.515,-134.425,90.0,bottom
