Designator,Mid X,Mid Y,Rotation,Layer
J100,62.86,-60.17,270.0,bottom
J101,62.78,-77.67,270.0,bottom
J102,77.47,-117.67,270.0,bottom
U100,57.15,-60.325,90.0,top
U101,69.85,-60.325,90.0,top
U102,82.55,-60.325,90.0,top
U103,95.25,-60.325,90.0,top
U104,57.15,-79.375,90.0,top
U105,69.85,-79.375,90.0,top
U106,82.55,-79.375,90.0,top
U107,95.25,-79.375,90.0,top
U108,57.15,-98.425,90.0,top
U109,69.85,-98.425,90.0,top
U110,82.55,-98.425,90.0,top
U111,95.25,-98.405,90.0,top
U112,57.15,-117.475,90.0,top
U113,69.85,-117.475,90.0,top
U114,82.55,-117.475,90.0,top
U115,95.25,-117.475,90.0,top
