Designator,Footprint,Quantity,Value,LCSC Part #
C101,CP_EIA-3528-21_Kemet-B,1,22uF,
C102,0805,1,4700pF (472),
C104,0603,1,22uF 6V,
C106,C_Elec_6.3x5.8,1,220uF,
C108,0805,1,1uF,
F102,2920,1,Polyfuse 4A,
J101,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,VBUS,
J102,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J103,Generic_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,+5V,
R104,0805,1,1MR,
"R105, R106",0805,2,5k1R,
R107,0805,1,200kR,
R108,1210,1,1kR,
U101,TO-220-3_Vertical,1,K7805M-2000,
U103,TSOT-23-6_HandSoldering,1,CH221K,
