Designator,Mid X,Mid Y,Rotation,Layer
C101,117.5,-79.25,180.0,bottom
C102,147.05,-87.9,180.0,bottom
C104,112.0,-83.25,180.0,bottom
C106,113.25,-72.75,0.0,bottom
C108,135.0875,-75.9,180.0,bottom
F102,143.3,-68.65,90.0,bottom
J101,134.8,-65.3825,180.0,top
J102,143.98,-96.9,0.0,bottom
J103,118.8,-65.3825,180.0,top
R104,147.05,-84.4,180.0,bottom
R105,147.05,-80.15,180.0,bottom
R106,147.05,-76.15,180.0,bottom
R107,135.8,-89.9,180.0,bottom
R108,124.3,-63.9,0.0,bottom
U101,114.75,-87.0,180.0,top
U103,136.05,-83.4,90.0,bottom
